value,brand,model,model_year,fuel_type,fipe_code,reference_month,authentication,vehicle_type,fuel_abbreviation,query_date
"R$ 41.732,00",Acura,NSX 3.0,1995,Gasolina,038001-6,agosto de 2024 ,t3mrl67sgm,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 40.265,00",Acura,NSX 3.0,1994,Gasolina,038001-6,agosto de 2024 ,tkfj3f5x4s,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 38.929,00",Acura,NSX 3.0,1993,Gasolina,038001-6,agosto de 2024 ,s1rym7c192,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 37.200,00",Acura,NSX 3.0,1992,Gasolina,038001-6,agosto de 2024 ,sdhh1bs70z,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 34.004,00",Acura,NSX 3.0,1991,Gasolina,038001-6,agosto de 2024 ,q50vxn5lh8,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 25.857,00",Acura,Legend 3.2/3.5,1998,Gasolina,038002-4,agosto de 2024 ,m3hn3r0wtr,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 22.992,00",Acura,Legend 3.2/3.5,1997,Gasolina,038002-4,agosto de 2024 ,l0xbkjgngf,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 21.619,00",Acura,Legend 3.2/3.5,1996,Gasolina,038002-4,agosto de 2024 ,lhs86d2fwr,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 19.432,00",Acura,Legend 3.2/3.5,1995,Gasolina,038002-4,agosto de 2024 ,kn5c1qnl0s,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 18.601,00",Acura,Legend 3.2/3.5,1994,Gasolina,038002-4,agosto de 2024 ,kcfbp4jk4j,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 16.390,00",Acura,Legend 3.2/3.5,1993,Gasolina,038002-4,agosto de 2024 ,jjhp4c4dyp,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 15.074,00",Acura,Legend 3.2/3.5,1992,Gasolina,038002-4,agosto de 2024 ,h02c01thc6,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 14.479,00",Acura,Legend 3.2/3.5,1991,Gasolina,038002-4,agosto de 2024 ,hs23txzdm0,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 11.302,00",Acura,Integra GS 1.8,1992,Gasolina,038003-2,agosto de 2024 ,glvcstl8rr,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
"R$ 10.557,00",Acura,Integra GS 1.8,1991,Gasolina,038003-2,agosto de 2024 ,f93lgj43jc,1,G,"quarta-feira, 21 de agosto de 2024 20:51"
